Num_Video,mediaColonne
 VID_RGB_019.1,1.8181818181818181
 VID_RGB_019.2,1.7272727272727273
 VID_RGB_019.3,3.0
 VID_RGB_020,2.090909090909091
 VID_RGB_020.1,3.4545454545454546
 VID_RGB_020.2,1.9090909090909092
 VID_RGB_020.3,3.272727272727273
 VID_RGB_021,2.6
 VID_RGB_021.1,3.0
 VID_RGB_021.2,2.1
 VID_RGB_021.3,3.5
 VID_RGB_022,2.0
 VID_RGB_022.1,1.8
 VID_RGB_022.2,3.3
 VID_RGB_022.3,3.8
 VID_RGB_023,1.5
 VID_RGB_023.1,1.625
 VID_RGB_023.2,4.25
 VID_RGB_023.3,3.0
 VID_RGB_024,4.3
 VID_RGB_024.1,1.7
 VID_RGB_024.2,1.5
 VID_RGB_024.3,2.6
 VID_RGB_025,3.5
 VID_RGB_025.1,1.75
 VID_RGB_025.2,1.6666666666666667
 VID_RGB_025.3,3.5833333333333335
 VID_RGB_026,2.7777777777777777
 VID_RGB_026.1,1.8888888888888888
 VID_RGB_026.2,1.5555555555555556
 VID_RGB_026.3,4.111111111111111
 VID_RGB_027,2.8181818181818183
 VID_RGB_027.1,2.1818181818181817
 VID_RGB_027.2,2.4545454545454546
 VID_RGB_027.3,4.090909090909091
 VID_RGB_028,1.6363636363636365
 VID_RGB_028.1,4.363636363636363
 VID_RGB_028.2,1.4545454545454546
 VID_RGB_028.3,1.4545454545454546
 VID_RGB_029,2.8
 VID_RGB_029.1,3.1
 VID_RGB_029.2,1.9
 VID_RGB_029.3,2.1
 VID_RGB_030,2.3636363636363638
 VID_RGB_030.1,1.9090909090909092
 VID_RGB_030.2,1.7272727272727273
 VID_RGB_030.3,4.0
 VID_RGB_031,1.4
 VID_RGB_031.1,2.0
 VID_RGB_031.2,4.2
 VID_RGB_031.3,3.0
 VID_RGB_032,1.8
 VID_RGB_032.1,3.0
 VID_RGB_032.2,2.4
 VID_RGB_032.3,3.3
 VID_RGB_033,4.454545454545454
 VID_RGB_033.1,2.0
 VID_RGB_033.2,1.5454545454545454
 VID_RGB_033.3,2.090909090909091
 VID_RGB_034,2.3333333333333335
 VID_RGB_034.1,2.3333333333333335
 VID_RGB_034.2,3.0
 VID_RGB_034.3,3.111111111111111
 VID_RGB_035,1.5555555555555556
 VID_RGB_035.1,2.0
 VID_RGB_035.2,4.111111111111111
 VID_RGB_035.3,2.4444444444444446
 VID_RGB_036,1.6363636363636365
 VID_RGB_036.1,2.090909090909091
 VID_RGB_036.2,2.727272727272727
 VID_RGB_036.3,2.8181818181818183
 VID_RGB_037,1.1818181818181819
 VID_RGB_037.1,1.7272727272727273
 VID_RGB_037.2,4.7272727272727275
 VID_RGB_037.3,1.4545454545454546
 VID_RGB_038,1.8
 VID_RGB_038.1,1.9
 VID_RGB_038.2,4.1
 VID_RGB_038.3,3.5
 VID_RGB_039,1.1818181818181819
 VID_RGB_039.1,1.3636363636363635
 VID_RGB_039.2,4.818181818181818
 VID_RGB_039.3,1.6363636363636365
 VID_RGB_040,2.0
 VID_RGB_040.1,2.0
 VID_RGB_040.2,1.6666666666666667
 VID_RGB_040.3,3.111111111111111
 VID_RGB_041,2.272727272727273
 VID_RGB_041.1,2.090909090909091
 VID_RGB_041.2,2.8181818181818183
 VID_RGB_041.3,3.8181818181818183
 VID_RGB_042,1.9090909090909092
 VID_RGB_042.1,2.4545454545454546
 VID_RGB_042.2,2.090909090909091
 VID_RGB_042.3,4.636363636363637
 VID_RGB_043,1.8181818181818181
 VID_RGB_043.1,2.5454545454545454
 VID_RGB_043.2,3.272727272727273
 VID_RGB_043.3,3.1818181818181817
 VID_RGB_044,2.909090909090909
 VID_RGB_044.1,2.6363636363636362
 VID_RGB_044.2,1.8181818181818181
 VID_RGB_044.3,2.8181818181818183
 VID_RGB_045,4.090909090909091
 VID_RGB_045.1,1.4545454545454546
 VID_RGB_045.2,1.3636363636363635
 VID_RGB_045.3,2.727272727272727
 VID_RGB_046,2.272727272727273
 VID_RGB_046.1,1.3636363636363635
 VID_RGB_046.2,1.7272727272727273
 VID_RGB_046.3,4.181818181818182
 VID_RGB_047,1.9
 VID_RGB_047.1,1.7
 VID_RGB_047.2,4.1
 VID_RGB_047.3,2.5
 VID_RGB_048,1.875
 VID_RGB_048.1,3.625
 VID_RGB_048.2,1.75
 VID_RGB_048.3,2.375
 VID_RGB_049,1.5454545454545454
 VID_RGB_049.1,3.4545454545454546
 VID_RGB_049.2,1.7272727272727273
 VID_RGB_049.3,2.5454545454545454
 VID_RGB_050,2.2
 VID_RGB_050.1,2.4
 VID_RGB_050.2,2.0
 VID_RGB_050.3,3.4
 VID_RGB_051,1.6666666666666667
 VID_RGB_051.1,1.7777777777777777
 VID_RGB_051.2,3.7777777777777777
 VID_RGB_051.3,2.7777777777777777
 VID_RGB_052,2.727272727272727
 VID_RGB_052.1,3.1818181818181817
 VID_RGB_052.2,1.4545454545454546
 VID_RGB_052.3,2.6363636363636362
 VID_RGB_053,3.4545454545454546
 VID_RGB_053.1,2.727272727272727
 VID_RGB_053.2,1.5454545454545454
 VID_RGB_053.3,3.1818181818181817
 VID_RGB_054,2.272727272727273
 VID_RGB_054.1,1.9090909090909092
 VID_RGB_054.2,2.3636363636363638
 VID_RGB_054.3,3.1818181818181817
 VID_RGB_055,2.727272727272727
 VID_RGB_055.1,2.272727272727273
 VID_RGB_055.2,2.727272727272727
 VID_RGB_055.3,4.181818181818182
 VID_RGB_056,2.3
 VID_RGB_056.1,1.6
 VID_RGB_056.2,2.6
 VID_RGB_056.3,4.3
 VID_RGB_057,1.9
 VID_RGB_057.1,2.1
 VID_RGB_057.2,2.8
 VID_RGB_057.3,3.5
 VID_RGB_058,1.9090909090909092
 VID_RGB_058.1,2.4545454545454546
 VID_RGB_058.2,3.0
 VID_RGB_058.3,3.4545454545454546
 VID_RGB_059,1.7
 VID_RGB_059.1,2.1
 VID_RGB_059.2,3.2
 VID_RGB_059.3,4.1
 VID_RGB_060,2.6363636363636362
 VID_RGB_060.1,2.5454545454545454
 VID_RGB_060.2,2.090909090909091
 VID_RGB_060.3,3.1818181818181817
